Relaxed condition: Temperature,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [K],Mass percent C
1293.9994,97.1,0.9,1.2,0.6,1373.15,0.2
1275.71411,96.8,0.9,1.2,0.9,1373.15,0.2
1258.6797,96.5,0.9,1.2,1.2,1373.15,0.2
1242.70095,96.2,0.9,1.2,1.5,1373.15,0.2
1227.63198,95.9,0.9,1.2,1.8,1373.15,0.2
1213.35971,95.6,0.9,1.2,2.1,1373.15,0.2
1199.79397,95.3,0.9,1.2,2.4,1373.15,0.2
1186.86113,95,0.9,1.2,2.7,1373.15,0.2
1174.50001,94.7,0.9,1.2,3,1373.15,0.2
1445.93457,97.4,0.9,1.5,0,1373.15,0.2
1396.31535,97.1,0.9,1.5,0.3,1373.15,0.2
1363.77849,96.8,0.9,1.5,0.6,1373.15,0.2
1337.25056,96.5,0.9,1.5,0.9,1373.15,0.2
1314.19286,96.2,0.9,1.5,1.2,1373.15,0.2
1293.51102,95.9,0.9,1.5,1.5,1373.15,0.2
1274.60937,95.6,0.9,1.5,1.8,1373.15,0.2
1257.1183,95.3,0.9,1.5,2.1,1373.15,0.2
1240.78804,95,0.9,1.5,2.4,1373.15,0.2
1225.43931,94.7,0.9,1.5,2.7,1373.15,0.2
1210.93751,94.4,0.9,1.5,3,1373.15,0.2
,97.1,0.9,1.8,0,1373.15,0.2
,96.8,0.9,1.8,0.3,1373.15,0.2
,96.5,0.9,1.8,0.6,1373.15,0.2
,96.2,0.9,1.8,0.9,1373.15,0.2
1435.74555,95.9,0.9,1.8,1.2,1373.15,0.2
1377.67819,95.6,0.9,1.8,1.5,1373.15,0.2
1344.63302,95.3,0.9,1.8,1.8,1373.15,0.2
1318.22676,95,0.9,1.8,2.1,1373.15,0.2
1295.46431,94.7,0.9,1.8,2.4,1373.15,0.2
1275.13451,94.4,0.9,1.8,2.7,1373.15,0.2
1256.59886,94.1,0.9,1.8,3,1373.15,0.2
,96.8,0.9,2.1,0,1373.15,0.2
,96.5,0.9,2.1,0.3,1373.15,0.2
,96.2,0.9,2.1,0.6,1373.15,0.2
,95.9,0.9,2.1,0.9,1373.15,0.2
,95.6,0.9,2.1,1.2,1373.15,0.2
,95.3,0.9,2.1,1.5,1373.15,0.2
,95,0.9,2.1,1.8,1373.15,0.2
,94.7,0.9,2.1,2.1,1373.15,0.2
,94.4,0.9,2.1,2.4,1373.15,0.2
1366.63378,94.1,0.9,2.1,2.7,1373.15,0.2
1329.32941,93.8,0.9,2.1,3,1373.15,0.2
,96.5,0.9,2.4,0,1373.15,0.2
,96.2,0.9,2.4,0.3,1373.15,0.2
,95.9,0.9,2.4,0.6,1373.15,0.2
,95.6,0.9,2.4,0.9,1373.15,0.2
,95.3,0.9,2.4,1.2,1373.15,0.2
,95,0.9,2.4,1.5,1373.15,0.2
,94.7,0.9,2.4,1.8,1373.15,0.2
,94.4,0.9,2.4,2.1,1373.15,0.2
,94.1,0.9,2.4,2.4,1373.15,0.2
,93.8,0.9,2.4,2.7,1373.15,0.2
,93.5,0.9,2.4,3,1373.15,0.2
,96.2,0.9,2.7,0,1373.15,0.2
,95.9,0.9,2.7,0.3,1373.15,0.2
,95.6,0.9,2.7,0.6,1373.15,0.2
,95.3,0.9,2.7,0.9,1373.15,0.2
,95,0.9,2.7,1.2,1373.15,0.2
,94.7,0.9,2.7,1.5,1373.15,0.2
,94.4,0.9,2.7,1.8,1373.15,0.2
,94.1,0.9,2.7,2.1,1373.15,0.2
,93.8,0.9,2.7,2.4,1373.15,0.2
,93.5,0.9,2.7,2.7,1373.15,0.2
,93.2,0.9,2.7,3,1373.15,0.2
,95.9,0.9,3,0,1373.15,0.2
,95.6,0.9,3,0.3,1373.15,0.2
,95.3,0.9,3,0.6,1373.15,0.2
,95,0.9,3,0.9,1373.15,0.2
,94.7,0.9,3,1.2,1373.15,0.2
,94.4,0.9,3,1.5,1373.15,0.2
,94.1,0.9,3,1.8,1373.15,0.2
,93.8,0.9,3,2.1,1373.15,0.2
,93.5,0.9,3,2.4,1373.15,0.2
,93.2,0.9,3,2.7,1373.15,0.2
,92.9,0.9,3,3,1373.15,0.2
1169.07922,98.6,1.2,0,0,1373.15,0.2
1156.16958,98.3,1.2,0,0.3,1373.15,0.2
1143.84271,98,1.2,0,0.6,1373.15,0.2
1132.0501,97.7,1.2,0,0.9,1373.15,0.2
1120.74956,97.4,1.2,0,1.2,1373.15,0.2
1109.9041,97.1,1.2,0,1.5,1373.15,0.2
1099.48112,96.8,1.2,0,1.8,1373.15,0.2
1089.45168,96.5,1.2,0,2.1,1373.15,0.2
