A3	Mass percent Fe	Mass percent Si	Mass percent Al	Mass percent Mn	Temperature [°C]	Mass percent C
	94.10000	0.60000	3.00000	2.10000	800.00000	0.20000
	93.80000	0.60000	3.00000	2.40000	800.00000	0.20000
	93.50000	0.60000	3.00000	2.70000	800.00000	0.20000
	93.20000	0.60000	3.00000	3.00000	800.00000	0.20000
879.94209	98.90000	0.90000	0.00000	0.00000	800.00000	0.20000
868.10431	98.60000	0.90000	0.00000	0.30000	800.00000	0.20000
856.76460	98.30000	0.90000	0.00000	0.60000	800.00000	0.20000
845.88556	98.00000	0.90000	0.00000	0.90000	800.00000	0.20000
835.43418	97.70000	0.90000	0.00000	1.20000	800.00000	0.20000
825.38114	97.40000	0.90000	0.00000	1.50000	800.00000	0.20000
815.70029	97.10000	0.90000	0.00000	1.80000	800.00000	0.20000
806.36821	96.80000	0.90000	0.00000	2.10000	800.00000	0.20000
797.36383	96.50000	0.90000	0.00000	2.40000	800.00000	0.20000
788.66831	96.20000	0.90000	0.00000	2.70000	800.00000	0.20000
780.26441	95.90000	0.90000	0.00000	3.00000	800.00000	0.20000
918.58468	98.60000	0.90000	0.30000	0.00000	800.00000	0.20000
905.61629	98.30000	0.90000	0.30000	0.30000	800.00000	0.20000
893.23752	98.00000	0.90000	0.30000	0.60000	800.00000	0.20000
881.39868	97.70000	0.90000	0.30000	0.90000	800.00000	0.20000
870.05666	97.40000	0.90000	0.30000	1.20000	800.00000	0.20000
859.17368	97.10000	0.90000	0.30000	1.50000	800.00000	0.20000
848.71645	96.80000	0.90000	0.30000	1.80000	800.00000	0.20000
838.65538	96.50000	0.90000	0.30000	2.10000	800.00000	0.20000
828.96411	96.20000	0.90000	0.30000	2.40000	800.00000	0.20000
819.61907	95.90000	0.90000	0.30000	2.70000	800.00000	0.20000
810.59906	95.60000	0.90000	0.30000	3.00000	800.00000	0.20000
959.17002	98.30000	0.90000	0.60000	0.00000	800.00000	0.20000
944.59554	98.00000	0.90000	0.60000	0.30000	800.00000	0.20000
930.75807	97.70000	0.90000	0.60000	0.60000	800.00000	0.20000
917.58419	97.40000	0.90000	0.60000	0.90000	800.00000	0.20000
905.01220	97.10000	0.90000	0.60000	1.20000	800.00000	0.20000
892.98949	96.80000	0.90000	0.60000	1.50000	800.00000	0.20000
881.47068	96.50000	0.90000	0.60000	1.80000	800.00000	0.20000
870.41624	96.20000	0.90000	0.60000	2.10000	800.00000	0.20000
859.79145	95.90000	0.90000	0.60000	2.40000	800.00000	0.20000
849.56563	95.60000	0.90000	0.60000	2.70000	800.00000	0.20000
839.71159	95.30000	0.90000	0.60000	3.00000	800.00000	0.20000
1004.88794	98.00000	0.90000	0.90000	0.00000	800.00000	0.20000
987.86624	97.70000	0.90000	0.90000	0.30000	800.00000	0.20000
971.87815	97.40000	0.90000	0.90000	0.60000	800.00000	0.20000
956.78866	97.10000	0.90000	0.90000	0.90000	800.00000	0.20000
942.49156	96.80000	0.90000	0.90000	1.20000	800.00000	0.20000
928.90106	96.50000	0.90000	0.90000	1.50000	800.00000	0.20000
915.94640	96.20000	0.90000	0.90000	1.80000	800.00000	0.20000
903.56818	95.90000	0.90000	0.90000	2.10000	800.00000	0.20000
891.71583	95.60000	0.90000	0.90000	2.40000	800.00000	0.20000
