A3,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [°C]
870.98265,95,1.5,0.6,2.7,800
859.60337,94.7,1.5,0.6,3,800
1061.52232,97.4,1.5,0.9,0,800
1038.27053,97.1,1.5,0.9,0.3,800
1017.2425,96.8,1.5,0.9,0.6,800
997.94063,96.5,1.5,0.9,0.9,800
980.03961,96.2,1.5,0.9,1.2,800
963.31119,95.9,1.5,0.9,1.5,800
947.58671,95.6,1.5,0.9,1.8,800
932.73662,95.3,1.5,0.9,2.1,800
918.65832,95,1.5,0.9,2.4,800
905.26855,94.7,1.5,0.9,2.7,800
892.49847,94.4,1.5,0.9,3,800
,97.1,1.5,1.2,0,800
1119.38537,96.8,1.5,1.2,0.3,800
1086.15461,96.5,1.5,1.2,0.6,800
1058.91159,96.2,1.5,1.2,0.9,800
1035.20443,95.9,1.5,1.2,1.2,800
1013.94475,95.6,1.5,1.2,1.5,800
994.53067,95.3,1.5,1.2,1.8,800
976.58482,95,1.5,1.2,2.1,800
959.85019,94.7,1.5,1.2,2.4,800
944.14119,94.4,1.5,1.2,2.7,800
929.31782,94.1,1.5,1.2,3,800
,96.8,1.5,1.5,0,800
,96.5,1.5,1.5,0.3,800
,96.2,1.5,1.5,0.6,800
,95.9,1.5,1.5,0.9,800
,95.6,1.5,1.5,1.2,800
1091.52621,95.3,1.5,1.5,1.5,800
1060.80822,95,1.5,1.5,1.8,800
1035.24542,94.7,1.5,1.5,2.1,800
1012.83944,94.4,1.5,1.5,2.4,800
992.65538,94.1,1.5,1.5,2.7,800
974.16199,93.8,1.5,1.5,3,800
,96.5,1.5,1.8,0,800
,96.2,1.5,1.8,0.3,800
